Summary,Description,Steps,Selector,Page,Severity,Labels
"[Contrast][首页] color-contrast issue","Page: 首页
Rule: color-contrast
Reason: Fix any of the following:
  Element's background color could not be determined due to a background gradient
Selector: .greeting
HTML: <span data-v-ba0f6c19="""" class=""greeting"">您好</span>","导航到 首页，定位元素：.greeting",".greeting","首页","Serious","contrast"
"[Contrast][首页] color-contrast issue","Page: 首页
Rule: color-contrast
Reason: Fix any of the following:
  Element's background color could not be determined due to a background gradient
Selector: .message
HTML: <p data-v-ba0f6c19="""" class=""message"">准备好使用联想智会，开始你的下一场高效的会议了吗？</p>","导航到 首页，定位元素：.message",".message","首页","Serious","contrast"
"[Contrast][首页] color-contrast issue","Page: 首页
Rule: color-contrast
Reason: Fix any of the following:
  Element's background color could not be determined due to a pseudo element
Selector: #tab-0 > span[data-v-d43c4515=""""] > .acc-btn[role=""tab""][data-v-d43c4515=""""]
HTML: <button data-v-d43c4515="""" class=""acc-btn"" role=""tab"" aria-selected=""true"" aria-label=""meeting setting ,常规设置，in use，button"" style=""box-sizing: border-box; width: 100%; height: 100%; padding: 0px 2px;"">常规设置</button>","导航到 首页，定位元素：#tab-0 > span[data-v-d43c4515=""""] > .acc-btn[role=""tab""][data-v-d43c4515=""""]","#tab-0 > span[data-v-d43c4515=""""] > .acc-btn[role=""tab""][data-v-d43c4515=""""]","首页","Serious","contrast"
"[Contrast][首页] color-contrast issue","Page: 首页
Rule: color-contrast
Reason: Fix any of the following:
  Element's background color could not be determined due to a pseudo element
Selector: button[aria-label=""meeting setting ,123，button""]
HTML: <button data-v-d43c4515="""" class=""acc-btn"" role=""tab"" aria-selected=""false"" aria-label=""meeting setting ,123，button"" style=""box-sizing: border-box; width: 100%; height: 100%; padding: 0px 2px;"">123</button>","导航到 首页，定位元素：button[aria-label=""meeting setting ,123，button""]","button[aria-label=""meeting setting ,123，button""]","首页","Serious","contrast"
"[Contrast][首页] color-contrast issue","Page: 首页
Rule: color-contrast
Reason: Fix any of the following:
  Element's background color could not be determined due to a pseudo element
Selector: button[aria-label=""meeting setting ,实打实，button""]
HTML: <button data-v-d43c4515="""" class=""acc-btn"" role=""tab"" aria-selected=""false"" aria-label=""meeting setting ,实打实，button"" style=""box-sizing: border-box; width: 100%; height: 100%; padding: 0px 2px;"">实打实</button>","导航到 首页，定位元素：button[aria-label=""meeting setting ,实打实，button""]","button[aria-label=""meeting setting ,实打实，button""]","首页","Serious","contrast"
"[Contrast][首页] color-contrast issue","Page: 首页
Rule: color-contrast
Reason: Fix any of the following:
  Element's background color could not be determined because element contains an image node
Selector: p[data-v-e778a605=""""]
HTML: <p data-v-e778a605="""">预览</p>","导航到 首页，定位元素：p[data-v-e778a605=""""]","p[data-v-e778a605=""""]","首页","Serious","contrast"
"[Contrast][首页] color-contrast issue","Page: 首页
Rule: color-contrast
Reason: Fix any of the following:
  Unable to determine contrast ratio
Selector: .mic-select > .arco-select-view-input.arco-select-view-input-hidden[readonly=""""]
HTML: <input class=""arco-select-view-input arco-select-view-input-hidden"" readonly="""" role=""combobox"" aria-expanded=""false"" aria-haspopup=""listbox"" tabindex=""-1"" value="""" aria-activedescendant=""arco-select-option-__arco__option__string-{0.0.1.00000000}.{eb5e495f-5089-4e7f-8b11-48baf092289c}"">","导航到 首页，定位元素：.mic-select > .arco-select-view-input.arco-select-view-input-hidden[readonly=""""]",".mic-select > .arco-select-view-input.arco-select-view-input-hidden[readonly=""""]","首页","Serious","contrast"
"[Contrast][首页] color-contrast issue","Page: 首页
Rule: color-contrast
Reason: Fix any of the following:
  Element's background color could not be determined due to a background gradient
Selector: .colorful.custom-button[data-v-a7028616=""""]
HTML: <button data-v-a7028616="""" data-v-18f13646="""" class=""arco-btn arco-btn-pr..."" type=""button"" aria-label=""Transcription Settin..."" style=""width: 100%; --custo..."">","导航到 首页，定位元素：.colorful.custom-button[data-v-a7028616=""""]",".colorful.custom-button[data-v-a7028616=""""]","首页","Serious","contrast"
"[Contrast][首页] color-contrast issue","Page: 首页
Rule: color-contrast
Reason: Fix any of the following:
  Element's background color could not be determined due to a background gradient
Selector: #avatar-footer-bottom > .arco-card.arco-card-size-medium.arco-card-bordered > .arco-card-body > .avatar-temporary-container[data-v-e59318a9=""""] > .avatar-temporary__actions-wrapper[data-v-e59318a9=""""] > .avatar-temporary__button.custom-button[data-v-a7028616=""""]
HTML: <button data-v-a7028616="""" data-v-e59318a9="""" class=""arco-btn arco-btn-pr..."" type=""button"" aria-label=""Temporary leave，Reco..."" style=""--custom-bg: var(--c..."">","导航到 首页，定位元素：#avatar-footer-bottom > .arco-card.arco-card-size-medium.arco-card-bordered > .arco-card-body > .avatar-temporary-container[data-v-e59318a9=""""] > .avatar-temporary__actions-wrapper[data-v-e59318a9=""""] > .avatar-temporary__button.custom-button[data-v-a7028616=""""]","#avatar-footer-bottom > .arco-card.arco-card-size-medium.arco-card-bordered > .arco-card-body > .avatar-temporary-container[data-v-e59318a9=""""] > .avatar-temporary__actions-wrapper[data-v-e59318a9=""""] > .avatar-temporary__button.custom-button[data-v-a7028616=""""]","首页","Serious","contrast"
"[Accessibility][首页] Missing lang attribute","Page: 首页
Document <html> element has no lang attribute (lang is empty).
Recommendation: add <html lang=""zh-CN""> or appropriate language.","检查页面源代码，确保 <html> 有正确的 lang 属性。","html","首页","Serious","lang"
"[Keyboard][首页] Focusable element without visible focus outline","Page: 首页
Tag: BUTTON
Role: 
Aria: 
Text: 
Computed outline: rgb(0, 0, 0) none 0px
Recommendation: provide a clear :focus-visible style (outline or box-shadow) with sufficient contrast.","使用键盘 Tab 导航到该控件，观察是否有清晰焦点样式。","","首页","Moderate","keyboard,focus"
"[Keyboard][首页] Focusable element without visible focus outline","Page: 首页
Tag: BUTTON
Role: 
Aria: 
Text: 
Computed outline: rgb(0, 0, 0) none 0px
Recommendation: provide a clear :focus-visible style (outline or box-shadow) with sufficient contrast.","使用键盘 Tab 导航到该控件，观察是否有清晰焦点样式。","","首页","Moderate","keyboard,focus"
"[Keyboard][首页] Focusable element without visible focus outline","Page: 首页
Tag: BUTTON
Role: 
Aria: Lenovo smart meeting,navigation，how to use page，button
Text: 
Computed outline: rgb(59, 59, 59) solid 0px
Recommendation: provide a clear :focus-visible style (outline or box-shadow) with sufficient contrast.","使用键盘 Tab 导航到该控件，观察是否有清晰焦点样式。","","首页","Moderate","keyboard,focus"
"[Keyboard][首页] Focusable element without visible focus outline","Page: 首页
Tag: BUTTON
Role: 
Aria: Lenovo smart meeting,navigation，user center and setting page，button
Text: 
Computed outline: rgb(59, 59, 59) solid 0px
Recommendation: provide a clear :focus-visible style (outline or box-shadow) with sufficient contrast.","使用键盘 Tab 导航到该控件，观察是否有清晰焦点样式。","","首页","Moderate","keyboard,focus"
"[Keyboard][首页] Focusable element without visible focus outline","Page: 首页
Tag: BUTTON
Role: 
Aria: meeting setting ,edit meeting mode setting，button
Text: 
Computed outline: rgb(0, 0, 0) none 0px
Recommendation: provide a clear :focus-visible style (outline or box-shadow) with sufficient contrast.","使用键盘 Tab 导航到该控件，观察是否有清晰焦点样式。","","首页","Moderate","keyboard,focus"
"[Keyboard][首页] Focusable element without visible focus outline","Page: 首页
Tag: BUTTON
Role: 
Aria: meeting setting ,edit meeting mode setting，button
Text: 
Computed outline: rgb(0, 0, 0) none 0px
Recommendation: provide a clear :focus-visible style (outline or box-shadow) with sufficient contrast.","使用键盘 Tab 导航到该控件，观察是否有清晰焦点样式。","","首页","Moderate","keyboard,focus"
"[Keyboard][首页] Focusable element without visible focus outline","Page: 首页
Tag: BUTTON
Role: 
Aria: meeting setting ,go to previous page,button
Text: 
Computed outline: rgb(204, 204, 204) none 0px
Recommendation: provide a clear :focus-visible style (outline or box-shadow) with sufficient contrast.","使用键盘 Tab 导航到该控件，观察是否有清晰焦点样式。","","首页","Moderate","keyboard,focus"
"[Keyboard][首页] Focusable element without visible focus outline","Page: 首页
Tag: BUTTON
Role: 
Aria: meeting setting ,go to next page，button
Text: 
Computed outline: rgb(204, 204, 204) none 0px
Recommendation: provide a clear :focus-visible style (outline or box-shadow) with sufficient contrast.","使用键盘 Tab 导航到该控件，观察是否有清晰焦点样式。","","首页","Moderate","keyboard,focus"
"[Keyboard][首页] Focusable element without visible focus outline","Page: 首页
Tag: BUTTON
Role: 
Aria: meeting setting ,create a new meeting setting mode，button
Text: 
Computed outline: rgb(0, 0, 0) none 0px
Recommendation: provide a clear :focus-visible style (outline or box-shadow) with sufficient contrast.","使用键盘 Tab 导航到该控件，观察是否有清晰焦点样式。","","首页","Moderate","keyboard,focus"
"[Keyboard][首页] Focusable element without visible focus outline","Page: 首页
Tag: BUTTON
Role: 
Aria: Apply Meeting Settings changes
Text: 已应用
Computed outline: rgb(0, 0, 0) none 0px
Recommendation: provide a clear :focus-visible style (outline or box-shadow) with sufficient contrast.","使用键盘 Tab 导航到该控件，观察是否有清晰焦点样式。","","首页","Moderate","keyboard,focus"
"[Keyboard][首页] Focusable element without visible focus outline","Page: 首页
Tag: BUTTON
Role: 
Aria: Complete Video Stream Settings Page，button
Text: 
Computed outline: rgb(59, 59, 59) solid 0px
Recommendation: provide a clear :focus-visible style (outline or box-shadow) with sufficient contrast.","使用键盘 Tab 导航到该控件，观察是否有清晰焦点样式。","","首页","Moderate","keyboard,focus"
"[Keyboard][首页] Focusable element without visible focus outline","Page: 首页
Tag: INPUT
Role: combobox
Aria: 
Text: 
Computed outline: rgb(59, 59, 59) none 0px
Recommendation: provide a clear :focus-visible style (outline or box-shadow) with sufficient contrast.","使用键盘 Tab 导航到该控件，观察是否有清晰焦点样式。","","首页","Moderate","keyboard,focus"
"[Keyboard][首页] Focusable element without visible focus outline","Page: 首页
Tag: BUTTON
Role: 
Aria: Transcription Settings,Start Transcription,Button
Text: 开始
Computed outline: rgb(255, 255, 255) solid 0px
Recommendation: provide a clear :focus-visible style (outline or box-shadow) with sufficient contrast.","使用键盘 Tab 导航到该控件，观察是否有清晰焦点样式。","","首页","Moderate","keyboard,focus"
"[Keyboard][首页] Focusable element without visible focus outline","Page: 首页
Tag: BUTTON
Role: 
Aria: Temporary leave，Record a 3-second video to serve as your temporary meetingpresence when you need to step away for a while，back now，button
Text: 现在离开
Computed outline: rgb(255, 255, 255) solid 0px
Recommendation: provide a clear :focus-visible style (outline or box-shadow) with sufficient contrast.","使用键盘 Tab 导航到该控件，观察是否有清晰焦点样式。","","首页","Moderate","keyboard,focus"
"[Zoom][首页] Page layout overflows at 200% zoom","Page: 首页
scrollWidth: 1481, innerWidth: 900
Result: content overflows viewport at 200% zoom. Recommendation: ensure responsive layout, avoid fixed-width containers, test at 200-400% zoom.","打开页面并将缩放设为 200%（或使用系统放大镜），检查是否出现横向滚动或内容裁切。","","首页","Moderate","zoom,responsive"
